HOSTNAME,JOIN,PHASE,PARTITION_COUNT,RUN_ID,RUNTIME_MS
nx05,HashJoin,"4 - Joining",1024,4,2992
nx05,HashJoin,"1 - HashTableBuild",1024,5,4463
nx05,HashJoin,"2 - HashTableFinalization",1024,5,12863
nx05,HashJoin,"3 - ProbeSidePartitioning",1024,5,1856
nx05,HashJoin,"4 - Joining",1024,5,2987
nx05,HashJoin,"1 - HashTableBuild",1024,6,4424
nx05,HashJoin,"2 - HashTableFinalization",1024,6,12858
nx05,HashJoin,"3 - ProbeSidePartitioning",1024,6,1866
nx05,HashJoin,"4 - Joining",1024,6,2978
nx05,HashJoin,"1 - HashTableBuild",1024,7,4448
nx05,HashJoin,"2 - HashTableFinalization",1024,7,12848
nx05,HashJoin,"3 - ProbeSidePartitioning",1024,7,1866
nx05,HashJoin,"4 - Joining",1024,7,2857
nx05,HashJoin,"1 - HashTableBuild",1024,8,4471
nx05,HashJoin,"2 - HashTableFinalization",1024,8,12864
nx05,HashJoin,"3 - ProbeSidePartitioning",1024,8,1871
nx05,HashJoin,"4 - Joining",1024,8,2887
nx05,HashJoin,"1 - HashTableBuild",1024,9,4448
nx05,HashJoin,"2 - HashTableFinalization",1024,9,12858
nx05,HashJoin,"3 - ProbeSidePartitioning",1024,9,1907
nx05,HashJoin,"4 - Joining",1024,9,2962
nx05,HashJoin,"1 - HashTableBuild",2048,0,4417
nx05,HashJoin,"2 - HashTableFinalization",2048,0,12714
nx05,HashJoin,"3 - ProbeSidePartitioning",2048,0,2094
nx05,HashJoin,"4 - Joining",2048,0,2964
nx05,HashJoin,"1 - HashTableBuild",2048,1,4286
nx05,HashJoin,"2 - HashTableFinalization",2048,1,12715
nx05,HashJoin,"3 - ProbeSidePartitioning",2048,1,2091
nx05,HashJoin,"4 - Joining",2048,1,2966
nx05,HashJoin,"1 - HashTableBuild",2048,2,4037
nx05,HashJoin,"2 - HashTableFinalization",2048,2,12713
nx05,HashJoin,"3 - ProbeSidePartitioning",2048,2,2090
nx05,HashJoin,"4 - Joining",2048,2,3009
nx05,HashJoin,"1 - HashTableBuild",2048,3,4254
nx05,HashJoin,"2 - HashTableFinalization",2048,3,12730
nx05,HashJoin,"3 - ProbeSidePartitioning",2048,3,2095
nx05,HashJoin,"4 - Joining",2048,3,2962
nx05,HashJoin,"1 - HashTableBuild",2048,4,4322
nx05,HashJoin,"2 - HashTableFinalization",2048,4,12712
nx05,HashJoin,"3 - ProbeSidePartitioning",2048,4,2129
nx05,HashJoin,"4 - Joining",2048,4,2848
nx05,HashJoin,"1 - HashTableBuild",2048,5,4304
nx05,HashJoin,"2 - HashTableFinalization",2048,5,12744
